Pool	Species	PropD	Fname
rab-field.AH04all_Aug2011_trimmed_clipped_BTVS	300	HE	0.975871537	NA
rab-field.AH06_Aug2011_trimmed_clipped_BTVS	300	HE	0.989363798	plate2_18
rab-field.AH07_Aug2011_trimmed_clipped_BTVS	300	HE	0.986213235	plate2_19
rab-field.AH102_Aug2011_trimmed_clipped_BTVS	400	HE	0.59872093	plate2_28
rab-field.AH11_Aug2011_trimmed_clipped_BTVS	400	HE	0.002550823	NA
rab-field.AH13_Aug2011_trimmed_clipped_BTVS	400	HC	0.004768097	80
rab-field.AH14_Aug2011_trimmed_clipped_BTVS	400	HC	0.004026981	81
rab-field.AH18_Aug2011_trimmed_clipped_BTVS	400	HC	0.006168609	83
rab-field.AH21_Aug2011_trimmed_clipped_BTVS	400	HC	0.007067138	89
rab-field.AH22_Aug2011_trimmed_clipped_BTVS	400	HC	0.03552342	NA
rab-field.AH25_Aug2011_trimmed_clipped_BTVS	400	HC	0.002989537	plate2_2
rab-field.AH26_Aug2011_trimmed_clipped_BTVS	400	HC	0.002142739	NA
rab-field.AH27_Aug2011_trimmed_clipped_BTVS	300	HE	0.993227403	plate2_20
rab-field.AH28_Aug2011_trimmed_clipped_BTVS	400	HE	0.636966023	plate2_49
rab-field.AH29_Aug2011_trimmed_clipped_BTVS	400	HC	0.006241489	NA
rab-field.AH40_Aug2011_trimmed_clipped_BTVS	400	HE	0.031716418	NA
rab-field.AH44_Aug2011_trimmed_clipped_BTVS	400	HE	0.986228814	NA
rab-field.AH61_Aug2011_trimmed_clipped_BTVS	400	HE	0.984010061	plate2_21
rab-field.AH64_Aug2011_trimmed_clipped_BTVS	400	HE	0.001998168	plate2_22
rab-field.AH65_Aug2011_trimmed_clipped_BTVS	400	HE	0.003490401	plate2_50
rab-field.AH68_Aug2011_trimmed_clipped_BTVS	400	HE	0.002519244	plate2_51
rab-field.AH69_Aug2011_trimmed_clipped_BTVS	400	HE	0.436373004	plate2_23
rab-field.AH70_Aug2011_trimmed_clipped_BTVS	400	HE	0.725535815	plate2_24
rab-field.AH75_Aug2011_trimmed_clipped_BTVS	300	HE	0.990173969	plate2_52
rab-field.AH82all_Aug2011_trimmed_clipped_BTVS	400	HE	0.005454545	NA
rab-field.AH83_Aug2011_trimmed_clipped_BTVS	300	HE	0.99173028	NA
rab-field.AH85_Aug2011_trimmed_clipped_BTVS	300	HE	0.097806452	NA
rab-field.AH86-87_Aug2011_trimmed_clipped_BTVS	300	HE	0.984384988	NA
rab-field.AH88_Aug2011_trimmed_clipped_BTVS	300	HE	0.985719875	plate2_26
rab-field.AH89_Aug2011_trimmed_clipped_BTVS	400	HE	0.987413623	plate2_27
rab-field.AH91_Aug2011_trimmed_clipped_BTVS	400	HC	0.002346977	plate2_3
rab-field.AH95_Aug2011_trimmed_clipped_BTVS	400	HC	0.002946376	plate2_7
rab-field.AHS1_Aug2011_trimmed_clipped_BTVS	Sili	HE	0.984350256	NA
rab-field.AHS2_Aug2011_trimmed_clipped_BTVS	Sili	HE	0.986157396	NA
rab-field.AHS3_Aug2011_trimmed_clipped_BTVS	Sili	HE	0.989559272	NA
rab-field.AHS4_Aug2011_trimmed_clipped_BTVS	Sili	HE	0.991002571	NA
rab-field.AHS5_Aug2011_trimmed_clipped_BTVS	Sili	HE	0.114579218	NA
rab-field.AHS6_Aug2011_trimmed_clipped_BTVS	Sili	HE	0.988147323	NA
